ID,Coin
1,BTC
2,LTC
3,NMC
4,TRC
5,PPC
6,NVC
8,FTC
10,FRC
13,IXC
16,WDC
18,DGC
25,GLC
35,PXC
37,MEC
41,IFC
42,XPM
43,ANC
45,CSC
52,XRP
53,QRK
56,ZET
61,TAG
64,PIN
66,NXT
67,UNO
69,DTC
72,DEM
74,DOGE
77,DMD
78,HBN
80,ORB
83,OMNI
87,TIPS
90,DIME
93,42
99,VTC
109,DGB
113,SMC
118,RDD
122,POT
128,MAX
131,DASH
132,XCP
141,MINT
145,DOPE
148,AUR
151,PTD
154,MARS
162,MIM
168,UFO
170,BLK
182,XMY
184,NOTE
201,EMC2
212,ECC
213,MONA
215,RBY
217,BELA
234,EFL
254,NLG
258,GRS
260,XPD
263,PLNC
268,XWC
276,BITS
278,QBC
290,BLU
291,MAID
293,XBC
298,NYC
313,PINK
316,DRM
322,ENRG
323,VRC
328,XMR
331,LCP
333,CURE
341,SUPER
360,MOTO
362,CLOAK
366,BSD
367,C2
372,BCN
377,NAV
389,START
405,XDN
406,BBR
416,THC
448,XST
460,CLAM
463,BTS
470,VIA
495,IOC
501,XCN
502,CARBON
506,CANN
512,XLM
541,SYS
551,DONU
558,EMC
572,RBBT
576,GAME
584,N8V
588,UBQ
597,OPAL
601,ACOIN
624,BITCNY
633,EXCL
638,TROLL
644,BSTY
656,PXI
659,BITS
693,XVG
702,SPR
703,RBT
706,MUE
707,BLOCK
720,CRW
730,GCN
733,XQN
760,OK
764,XPY
788,COVAL
789,NXS
799,SMLY
815,KOBO
819,BITB
823,GEO
825,USDT
831,WBB
833,GRC
837,XCO
853,LDOGE
857,SONG
859,LOG
873,XEM
894,NTRN
895,XAUR
898,CF
911,AIB
914,SPHR
916,MEDIC
918,BUB
921,UNIT
934,PKB
938,ARB
945,BTA
948,ADC
951,SNRG
960,FJC
977,GXX
978,XRA
986,CREVA
990,ZNY
993,BSC
1004,HNC
1019,MANNA
1020,AXIOM
1026,AEON
1027,ETH
1032,TX
1033,GCC
1035,AMS
1037,AGRS
1038,EUC
1042,SC
1044,GCR
1052,VEC2
1053,BOLI
1066,PAK
1070,EXP
1082,SIB
1085,SWING
1087,FCT
1090,SANDG
1104,REP
1106,SHND
1107,PAC
1120,DFT
1135,CLUB
1136,ADZ
1146,AV
1154,VAL
1155,LTCR
1156,YOC
1159,SLS
1164,FRN
1165,EVIL
1168,DCR
1169,PIVX
1172,SFT
1175,RBIES
1185,FREED
1191,MEME
1194,IMS
1200,NEVA
1209,PEX
1210,CAB
1212,MOJO
1214,LSK
1216,EDRC
1218,POST
1223,BERN
1229,DGD
1230,STEEM
1241,FUZZ
1244,XHI
1247,ARCO
1248,XBTC21
1250,ZUR
1252,2GIVE
1254,XPTX
1257,LANA
1259,PONZI
1266,MXT
1273,CTL
1274,WAVES
1279,PWR
1281,ION
1282,HVCO
1285,GB
1291,CMT
1294,RISE
1297,CHESS
1298,LBC
1299,PUT
1306,CJ
1308,HEAT
1312,SBD
1320,ARDR
1321,ETC
1340,KRB
1343,STRAX
1351,ACES
1353,TAJ
1368,VLT
1376,NEO
1381,BTDX
1382,NLC2
1389,ZYD
1392,PLU
1395,DLC
1396,MST
1398,PROUD
1414,FIRO
1437,ZEC
1439,ASAFE
1447,ZCL
1454,LKK
1455,GLM
1464,HYD
1466,HUSH
1468,KURT
1473,PASC
1474,ENT
1492,GBYTE
1495,POSW
1500,WINGS
1503,JUP
1504,IFLT
1505,ALIAS
1511,VIDZ
1514,ICOB
1515,IBANK
1518,MKR
1521,KMD
1522,FRST
1528,ICON
1531,GCC
1546,CNT
1552,MLN
1556,TIME
1558,ARGUS
1562,SWT
1567,XNO
1578,ZER
1582,NETKO
1586,ARK
1587,DYN
1590,MER
1596,EDG
1606,XLR
1609,XAS
1619,SKY
1623,BLAZR
1624,ATMOS
1629,ZENI
1630,CXT
1632,CONX
1636,XBY
1637,RLC
1638,TRST
1651,SCS
1654,BTX
1657,VOLT
1658,LUN
1659,GNO
1660,TKN
1669,HMQ
1673,MNE
1674,CNNC
1678,INSN
1680,ANT
1681,PZM
1684,QTUM
1687,DMB
1693,MAY
1694,SUMO
1697,BAT
1698,ZEN
1700,AE
1703,ETP
1704,EBST
1706,ADK
1708,PTOY
1710,VERI
1711,ECA
1712,QRL
1715,MGO
1720,MIOTA
1721,MYST
1722,MORE
1725,ADL
1727,BNT
1731,GLT
1732,NMR
1736,UNIFY
1745,DCY
1747,ONX
1750,GXC
1751,ATCC
1757,FUN
1758,PAY
1759,SNT
1762,ERG
1765,EOS
1768,ADX
1769,D
1772,STORJ
1774,SOCC
1779,WGR
1784,PLBT
1785,GAS
1786,SNC
1787,JET
1788,MTL
1789,PPT
1799,RUP
1807,SAN
1808,OMG
1814,MRX
1816,CVC
1817,VGX
1824,COAL
1826,PART
1828,SMART
1830,SKIN
1831,BCH
1834,PLR
1838,OCT
1839,BNB
1845,IXT
1846,GSR
1850,CRM
1853,OAX
1856,DNT
1861,STX
1866,BTM
1873,TIX
1876,DCN
1878,SHDW
1881,ONION
1883,ADS
1886,DENT
1888,IFT
1894,TCC
1896,ZRX
1899,YOYOW
1902,MYB
1903,HC
1905,TFL
1908,NAS
1916,BBP
1918,ACT
1925,WTC
1930,PST
1931,OPT
1934,LRC
1935,LTCU
1937,POE
1947,MTH
1948,AVT
1949,DLT
1950,HVN
1954,MDA
1955,NEBL
1958,TRX
1962,BUZZ
1966,MANA
1967,IND
1968,XPA
1969,SCL
1970,ATB
1974,PRO
1975,LINK
1982,KNCL
1983,VIBE
1984,SUB
1985,DAY
1991,RVT
1993,KIN
1996,SALT
1998,ORMEUS
2001,COLX
2002,TZC
2006,COB
2009,BIS
2010,ADA
2011,XTZ
2019,VIB
2021,REV
2022,INXT
2034,EVX
2036,PPP
2041,BTCZ
2043,CND
2044,ENG
2047,ZSC
2056,PIPL
2058,AST
2061,BCPT
2062,AION
2064,ART
2066,EVR
2070,DRT
2071,REQ
2074,ETG
2076,BLUE
2081,AMB
2083,BTG
2087,KCS
2088,EXRN
2090,LA
2091,XUC
2092,NULS
2096,RCN
2099,ICX
2100,JS
2104,IETH
2107,LUX
2110,DOV
2112,PHX
2120,FUEL
2126,FYP
2130,ENJ
2131,IBTC
2132,POWR
2134,GRID
2135,REV
2136,ATL
2137,ETN
2140,SONO
2143,DATA
2144,XSH
2147,ELTCOIN
2148,DSR
2151,NIOX
2153,ARNX
2158,PHR
2160,INN
2161,RDN
2162,DPY
2165,ERC20
2175,DBET
2178,UFR
2181,GVT
2184,PRIX
2185,LTHN
2191,PAYX
2200,GBX
2205,PNX
2208,DNA
2209,INK
2212,QSP
2213,QASH
2215,TSL
2219,SPANK
2221,VOT
2222,BCD
2223,VEE
2230,MONK
2231,FLIXX
2235,TNB
2236,WISH
2237,EVC
2240,ONG
2241,CCO
2242,QBT
2243,DRGN
2245,PRE
2246,CMT
2247,BCDN
2248,CAPP
2249,ERO
2251,ITC
2255,SEND
2256,BON
2257,NUKO
2260,DAM
2267,WABI
2273,UQC
2274,MDS
2276,IGNIS
2277,SMT
2279,PKT
2280,FIL
2281,BCX
2282,SBTC
2286,AMM
2287,LOC
2288,WRC
2289,GTO
